DATE,MAX TEMPERATURE(F),MAX_TEMP_CELSIUS,MIN TEMPERATURE(F),MIN_TEMP_CELSIUS,MEAN TEMPERATURE(C),DAILY SUNSHINE (0.1HOURS),DAILY SNOW (1CM),DAILY PRECIPITATION (0.1MM),DAILY GLOBAL RADIATION (W/m2),DAILY SEA LEVEL PRESSURE (0.1 hPa),DAILY RELATIVE HUMIDITY (%),DAILY CLOUD COVER (oktas)
05/03/19,116,46.67,74,23.3,34.985,19,0,18,127,10147,83,7
05/04/19,127,52.78,52,11.1,31.94,95,0,2,247,10196,64,4
05/05/19,131,55,27,-2.8,26.1,43,0,0,172,10258,59,5
05/06/19,175,79.44,51,10.6,45.02,20,0,0,131,10220,55,7
05/07/19,157,69.44,62,16.7,43.07,69,0,74,214,10139,57,7
05/08/19,158,70,84,28.9,49.45,18,0,108,128,9957,86,7
05/09/19,164,73.33,61,16.1,44.715,19,0,92,131,9975,90,6
05/10/19,168,75.56,47,8.3,41.93,49,0,0,186,10088,78,5
05/11/19,181,82.78,81,27.2,54.99,46,0,22,182,10199,73,6
05/12/19,178,81.11,47,8.3,44.705,113,0,0,279,10359,64,1
05/13/19,188,86.67,52,11.1,48.885,137,0,0,310,10393,56,0
05/14/19,207,97.22,66,18.9,58.06,140,0,0,314,10338,54,0
05/15/19,190,87.78,69,20.6,54.19,129,0,0,302,10269,60,0
05/16/19,148,64.44,74,23.3,43.87,117,0,0,288,10174,,4
05/17/19,172,77.78,84,28.9,53.34,5,0,0,100,10091,79,7
05/18/19,186,85.56,97,36.1,60.83,7,0,0,106,10068,74,7
05/19/19,204,95.56,82,27.8,61.68,3,0,0,94,10097,74,6
05/20/19,209,98.33,122,50,74.165,31,0,0,161,10127,66,6
05/21/19,225,107.22,96,35.6,71.41,119,0,0,294,10181,55,1
05/22/19,247,119.44,104,40,79.72,94,0,0,262,10196,48,5
05/23/19,226,107.78,90,32.2,69.99,108,0,0,281,10163,50,4
05/24/19,242,116.67,108,42.2,79.435,76,0,0,237,10172,60,4
05/25/19,212,100,139,59.4,79.7,45,0,0,189,10182,59,7
05/26/19,200,93.33,140,60,76.665,17,0,0,135,10135,72,7
05/27/19,184,84.44,90,32.2,58.32,40,0,2,181,10104,64,5
05/28/19,192,88.89,91,32.8,60.845,47,0,0,193,10127,68,6
05/29/19,248,120,92,33.3,76.65,3,0,28,97,10186,83,7
05/30/19,207,97.22,111,43.9,70.56,46,0,0,192,10210,69,7
05/31/19,276,135.56,143,61.7,98.63,23,0,0,149,10235,68,6
06/01/19,273,133.89,105,40.6,87.245,115,0,0,296,10192,61,3
06/02/19,220,104.44,149,65,84.72,71,0,0,235,10101,64,6
06/03/19,175,79.44,106,41.1,60.27,68,0,0,231,10124,62,3
06/04/19,198,92.22,101,38.3,65.26,8,0,16,115,10060,80,7
06/05/19,210,98.89,118,47.8,73.345,46,0,0,196,10059,64,6
06/06/19,193,89.44,87,30.6,60.02,119,0,14,303,10101,56,3
06/07/19,203,95,110,43.3,69.15,15,0,74,134,10024,78,7
06/08/19,210,98.89,109,42.8,70.845,76,0,0,244,10114,68,5
06/09/19,148,64.44,86,30,47.22,64,0,32,226,10204,67,5
06/10/19,184,84.44,114,45.6,65.02,0,0,318,80,10146,90,8
06/11/19,161,71.67,95,35,53.335,8,0,0,116,10115,85,8
06/12/19,161,71.67,110,43.3,57.485,17,0,172,140,10097,85,8
06/13/19,201,93.89,114,45.6,69.745,0,0,48,81,10058,90,8
06/14/19,200,93.33,117,47.2,70.265,53,0,0,209,10102,74,7
06/15/19,214,101.11,115,46.1,73.605,37,0,8,181,10128,77,7
06/16/19,227,108.33,84,28.9,68.615,47,0,12,199,10166,76,6
06/17/19,197,91.67,113,45,68.335,93,0,0,270,10175,64,4
06/18/19,195,90.56,110,43.3,66.93,24,0,22,156,10139,80,7
06/19/19,205,96.11,141,60.6,78.355,1,0,74,89,10080,85,8
06/20/19,224,106.67,123,50.6,78.635,65,0,0,229,10126,69,6
06/21/19,238,114.44,88,31.1,72.77,98,0,0,277,10194,63,3
06/22/19,249,120.56,97,36.1,78.33,119,0,0,38,10209,60,1
06/23/19,245,118.33,125,51.7,85.015,10,0,0,122,10168,70,6
06/24/19,239,115,172,77.8,96.4,17,0,28,140,10156,75,7
06/25/19,222,105.56,178,81.1,93.33,10,0,0,122,10189,85,8
06/26/19,246,118.89,154,67.8,93.345,35,0,0,178,10272,80,8
06/27/19,247,119.44,130,54.4,86.92,133,0,0,40,10287,66,2
06/28/19,340,171.11,134,56.7,113.905,127,0,0,39,10242,68,2
06/29/19,251,121.67,146,63.3,92.485,136,0,0,39,10150,60,1
06/30/19,225,107.22,146,63.3,85.26,89,0,0,263,10161,64,3
07/01/19,232,111.11,133,56.1,83.605,74,0,0,241,10204,62,3
07/02/19,244,117.78,108,42.2,79.99,96,0,0,273,10250,58,3
07/03/19,267,130.56,129,53.9,92.23,109,0,0,290,10265,,3
07/04/19,276,135.56,120,48.9,92.23,141,0,0,36,10246,52,1
07/05/19,236,113.33,157,69.4,91.365,85,0,0,256,10185,53,6
07/06/19,215,101.67,146,63.3,82.485,47,0,46,197,10137,64,5
07/07/19,239,115,141,60.6,87.8,30,0,20,166,10167,79,7
07/08/19,258,125.56,125,51.7,88.63,48,0,0,198,10207,58,7
07/09/19,267,130.56,153,67.2,98.88,18,0,0,140,10209,59,8
07/10/19,273,133.89,167,75,104.445,31,0,0,167,10180,60,7
07/11/19,255,123.89,163,72.8,98.345,79,0,0,245,10129,57,7
07/12/19,237,113.89,171,77.2,95.545,92,0,0,263,10151,60,5
07/13/19,219,103.89,145,62.8,83.345,50,0,6,200,10216,64,4
07/14/19,229,109.44,141,60.6,85.02,25,0,0,153,10232,71,5
07/15/19,273,133.89,118,47.8,90.845,61,0,0,217,10226,64,4
07/16/19,264,128.89,117,47.2,88.045,131,0,0,36,10191,58,0
07/17/19,248,120,135,57.2,88.6,66,0,30,223,10141,59,5
07/18/19,199,92.78,156,68.9,80.84,25,0,0,152,10105,69,6
07/19/19,256,124.44,127,52.8,88.62,0,0,174,77,10112,84,7
07/20/19,246,118.89,154,67.8,93.345,69,0,0,226,10089,73,5
07/21/19,279,137.22,130,54.4,95.81,57,0,0,207,10202,68,3
07/22/19,336,168.89,164,73.3,121.095,71,0,0,228,10217,72,5
07/23/19,328,164.44,157,69.4,116.92,132,0,8,307,10173,60,0
07/24/19,379,192.78,200,93.3,143.04,122,0,0,294,10121,57,2
07/25/19,257,125,197,91.7,108.35,95,0,38,259,10102,48,2
07/26/19,203,95,187,86.1,90.55,7,0,144,105,10105,70,8
07/27/19,243,117.22,161,71.7,94.46,0,0,4,74,10071,89,8
07/28/19,262,127.78,155,68.3,98.04,13,0,0,120,10060,67,6
07/29/19,199,92.78,132,55.6,74.19,114,0,0,280,10088,59,4
07/30/19,249,120.56,170,76.7,98.63,15,0,38,124,10051,80,6
07/31/19,260,126.67,163,72.8,99.735,42,0,0,176,10123,62,7
08/01/19,258,125.56,146,63.3,94.43,57,0,0,199,10171,66,6
08/02/19,247,119.44,155,68.3,93.87,66,0,0,212,10191,65,4
08/03/19,274,134.44,148,64.4,99.42,30,0,0,153,10188,69,4
08/04/19,265,129.44,150,65.6,97.52,5,0,2,95,10134,69,6
08/05/19,250,121.11,160,71.1,96.105,48,0,2,182,10098,68,5
08/06/19,249,120.56,153,67.2,93.88,59,0,0,198,10078,70,5
08/07/19,245,118.33,142,61.1,89.715,53,0,12,188,10067,70,5
08/08/19,250,121.11,134,56.7,88.905,54,0,32,189,10096,70,5
08/09/19,236,113.33,176,80,96.665,38,0,18,162,10009,79,6
08/10/19,232,111.11,166,74.4,92.755,56,0,14,190,10042,70,6
08/11/19,195,90.56,151,66.1,78.33,72,0,0,212,10112,65,3
08/12/19,234,112.22,129,53.9,83.06,13,0,14,112,10146,73,6
08/13/19,194,90,98,36.7,63.35,98,0,32,243,10174,61,4
08/14/19,235,112.78,139,59.4,86.09,1,0,86,74,10124,91,8
08/15/19,192,88.89,140,60,74.445,70,0,0,204,10123,68,4
08/16/19,241,116.11,127,52.8,84.455,0,0,56,65,10112,86,6
08/17/19,225,107.22,150,65.6,86.41,75,0,10,209,10046,75,5
08/18/19,224,106.67,146,63.3,84.985,37,0,48,153,10055,76,6
08/19/19,228,108.89,121,49.4,79.145,75,0,6,206,10141,68,3
08/20/19,236,113.33,107,41.7,77.515,99,0,0,235,10228,60,2
08/21/19,251,121.67,106,41.1,81.385,84,0,0,215,10265,66,2
08/22/19,277,136.11,122,50,93.055,90,0,0,221,10247,69,3
08/23/19,307,152.78,132,55.6,104.19,122,0,0,256,10240,69,0
08/24/19,333,167.22,130,54.4,110.81,111,0,0,243,10191,60,2
08/25/19,332,166.67,163,72.8,119.735,110,0,0,240,10178,51,2
08/26/19,334,167.78,165,73.9,120.84,120,0,0,249,10174,53,0
08/27/19,266,130,163,72.8,101.4,104,0,4,230,10141,57,1
08/28/19,247,119.44,180,82.2,100.82,33,0,0,136,10138,68,7
08/29/19,248,120,108,42.2,81.1,89,0,0,210,10195,66,3
08/30/19,249,120.56,134,56.7,88.63,86,0,0,205,10205,68,2
08/31/19,216,102.22,123,50.6,76.41,57,0,0,167,10126,70,3
09/01/19,236,113.33,113,45,79.165,86,0,0,193,10180,57,3
09/02/19,228,108.89,87,30.6,69.745,71,0,0,175,10236,61,4
09/03/19,211,99.44,153,67.2,83.32,25,0,72,113,10226,67,7
09/04/19,187,86.11,146,63.3,74.705,70,0,0,171,10157,69,6
09/05/19,188,86.67,119,48.3,67.485,85,0,0,186,10249,57,3
09/06/19,178,81.11,93,33.9,57.505,7,0,0,77,10223,78,4
09/07/19,186,85.56,113,45,65.28,28,0,0,113,10234,65,6
09/08/19,161,71.67,61,16.1,43.885,86,0,0,183,10234,61,2
09/09/19,219,103.89,118,47.8,75.845,0,0,0,52,10136,78,8
09/10/19,218,103.33,99,37.2,70.265,54,0,0,144,10187,72,5
09/11/19,257,125,135,57.2,91.1,5,0,0,68,10202,75,7
09/12/19,226,107.78,120,48.9,78.34,33,0,0,115,10270,77,6
09/13/19,240,115.56,135,57.2,86.38,118,0,0,205,10339,58,2
09/14/19,266,130,91,32.8,81.4,109,0,0,195,10321,58,0
09/15/19,206,96.67,98,36.7,66.685,100,0,2,185,10243,68,0
09/16/19,200,93.33,154,67.8,80.565,0,0,6,47,10221,83,8
09/17/19,200,93.33,96,35.6,64.465,114,0,0,194,10254,61,1
09/18/19,222,105.56,78,25.6,65.58,111,0,0,189,10296,59,0
09/19/19,224,106.67,79,26.1,66.385,105,0,0,182,10308,65,0
09/20/19,264,128.89,93,33.9,81.395,108,0,0,183,10251,66,0
09/21/19,239,115,118,47.8,81.4,106,0,2,179,10122,55,0
09/22/19,201,93.89,173,78.3,86.095,4,0,16,58,10044,80,6
09/23/19,205,96.11,135,57.2,76.655,33,0,188,102,10097,84,6
09/24/19,222,105.56,152,66.7,86.13,18,0,126,81,10017,91,7
09/25/19,209,98.33,146,63.3,80.815,26,0,36,91,10005,83,7
09/26/19,190,87.78,155,68.3,78.04,17,0,8,78,10029,83,6
09/27/19,197,91.67,132,55.6,73.635,41,0,12,107,10041,80,3
09/28/19,198,92.22,120,48.9,70.56,3,0,46,51,10080,78,6
09/29/19,178,81.11,139,59.4,70.255,3,0,44,50,9980,88,7
09/30/19,211,99.44,97,36.1,67.77,2,0,72,47,10086,87,6
10/01/19,144,62.22,136,57.8,60.01,28,0,94,87,10002,87,7
10/02/19,153,67.22,67,19.4,43.31,79,0,0,136,10177,69,1
10/03/19,157,69.44,40,4.4,36.92,2,0,18,45,10164,81,5
10/04/19,163,72.78,84,28.9,50.84,2,0,4,44,10055,87,6
10/05/19,173,78.33,114,45.6,61.965,0,0,160,36,10139,82,8
10/06/19,169,76.11,116,46.7,61.405,47,0,10,101,10111,80,7
10/07/19,179,81.67,102,38.9,60.285,5,0,18,49,10142,90,8
10/08/19,163,72.78,121,49.4,61.09,25,0,34,76,10070,82,5
10/09/19,175,79.44,105,40.6,60.02,42,0,2,92,10053,75,6
10/10/19,172,77.78,83,28.3,53.04,38,0,36,87,10110,78,4
10/11/19,164,73.33,134,56.7,65.015,0,0,70,33,10065,88,8
10/12/19,173,78.33,106,41.1,59.715,0,0,124,32,10081,95,8
10/13/19,160,71.11,109,42.8,56.955,11,0,40,54,10045,87,7
10/14/19,175,79.44,103,39.4,59.42,0,0,36,31,10055,93,8
10/15/19,163,72.78,107,41.7,57.24,17,0,8,60,10041,85,6
10/16/19,154,67.78,97,36.1,51.94,30,0,0,73,10031,80,6
10/17/19,156,68.89,82,27.8,48.345,27,0,102,69,10054,86,5
10/18/19,158,70,93,33.9,51.95,46,0,24,85,9995,82,5
10/19/19,121,49.44,95,35,42.22,67,0,6,100,10010,81,3
10/20/19,133,56.11,46,7.8,31.955,14,0,2,52,10105,86,5
10/21/19,160,71.11,88,31.1,51.105,0,0,4,28,10185,83,8
10/22/19,146,63.33,65,18.3,40.815,76,0,0,102,10232,78,2
10/23/19,125,51.67,42,5.6,28.635,2,0,2,33,10135,90,6
10/24/19,169,76.11,83,28.3,52.205,0,0,56,26,10056,94,7
10/25/19,169,76.11,95,35,55.555,0,0,4,26,10112,87,7
10/26/19,120,48.89,122,50,49.445,0,0,42,25,10085,85,8
10/27/19,110,43.33,40,4.4,23.865,53,0,0,80,10233,79,2
10/28/19,115,46.11,11,-11.7,17.205,35,1–2,0,65,10249,84,4
10/29/19,129,53.89,57,13.9,33.895,1,0,0,27,10251,75,8
10/30/19,133,56.11,70,21.1,38.605,44,0,0,70,10240,73,5
10/31/19,162,72.22,65,18.3,45.26,49,0,32,72,10188,82,5
11/01/19,140,60,74,23.3,41.65,0,0,14,23,9992,94,8
11/02/19,124,51.11,100,37.8,44.455,3,0,42,29,9808,83,7
11/03/19,128,53.33,60,15.6,34.465,18,0,20,46,9817,88,4
11/04/19,130,54.44,73,22.8,38.62,12,0,0,39,9841,92,4
11/05/19,96,35.56,61,16.1,25.83,6,0,12,32,9970,92,8
11/06/19,112,44.44,33,0.6,22.52,33,0,92,55,10036,86,5
11/07/19,90,32.22,56,13.3,22.76,60,0,0,72,9932,83,4
11/08/19,78,25.56,-3,-19.4,3.08,1,1–2,2,23,10062,90,5
11/09/19,111,43.89,4,-15.6,14.145,4,1–2,124,27,10060,95,6
11/10/19,100,37.78,16,-8.9,14.44,63,0,24,70,10106,83,5
11/11/19,90,32.22,47,8.3,20.26,35,0,0,53,10024,79,5
11/12/19,101,38.33,32,0,19.165,27,0,18,46,9990,82,5
11/13/19,98,36.67,27,-2.8,16.935,33,0,172,50,9983,84,4
11/14/19,89,31.67,38,3.3,17.485,26,0,2,44,9949,87,7
11/15/19,82,27.78,40,4.4,16.09,0,0,16,18,10030,88,8
11/16/19,87,30.56,47,8.3,19.43,7,0,0,28,10061,84,8
11/17/19,95,35,15,-9.4,12.8,21,0,0,39,10112,89,7
11/18/19,71,21.67,26,-3.3,9.185,38,0,0,49,10159,82,3
11/19/19,80,26.67,-21,-29.4,-1.365,0,3–5,0,17,10168,91,6
11/20/19,76,24.44,4,-15.6,4.42,8,1–2,0,27,10121,80,3
11/21/19,99,37.22,20,-6.7,15.26,0,0,42,16,10033,90,8
11/22/19,108,42.22,36,2.2,22.21,7,0,10,26,9953,92,7
11/23/19,118,47.78,76,24.4,36.09,0,0,34,16,9937,92,7
11/24/19,118,47.78,59,15,31.39,1,0,0,18,10030,95,7
11/25/19,136,57.78,84,28.9,43.34,0,0,20,15,10021,96,8
11/26/19,119,48.33,95,35,41.665,0,0,52,15,9948,93,7
11/27/19,101,38.33,92,33.3,35.815,12,0,30,28,9840,94,8
11/28/19,79,26.11,79,26.1,26.105,3,0,20,20,9956,89,8
11/29/19,71,21.67,28,-2.2,9.735,57,0,2,53,10155,87,2
11/30/19,75,23.89,-8,-22.2,0.845,38,3–5,0,43,10215,92,3
12/01/19,76,24.44,20,-6.7,8.87,13,0,0,26,10236,87,3
12/02/19,100,37.78,-8,-22.2,7.79,55,3–5,2,48,10311,84,1
12/03/19,90,32.22,4,-15.6,8.31,29,1–2,0,35,10277,83,5
12/04/19,121,49.44,2,-16.7,16.37,54,1–2,2,47,10211,90,1
12/05/19,138,58.89,-13,-25,16.945,5,3–5,38,19,10188,91,7
12/06/19,119,48.33,28,-2.2,23.065,1,0,2,15,10064,88,7
12/07/19,112,44.44,68,20,32.22,3,0,20,17,10122,80,7
12/08/19,97,36.11,88,31.1,33.605,17,0,0,27,9995,77,5
12/09/19,119,48.33,65,18.3,33.315,41,0,0,39,10093,70,3
12/10/19,84,28.89,-2,-18.9,4.995,0,1–2,36,12,10143,90,6
12/11/19,94,34.44,35,1.7,18.07,26,0,2,31,10050,86,2
12/12/19,86,30,6,-14.4,7.8,0,1–2,110,12,9892,93,6
12/13/19,91,32.78,47,8.3,20.54,20,0,20,28,9792,77,7
12/14/19,103,39.44,39,3.9,21.67,26,0,108,31,9895,77,4
12/15/19,90,32.22,48,8.9,20.56,40,0,84,38,9951,78,4
12/16/19,78,25.56,43,6.1,15.83,0,0,44,12,9998,89,7
12/17/19,120,48.89,62,16.7,32.795,0,0,14,12,10005,95,8
12/18/19,136,57.78,8,-13.3,22.24,12,1–2,90,23,10076,92,5
12/19/19,108,42.22,57,13.9,28.06,4,0,130,17,9962,86,8
12/20/19,107,41.67,83,28.3,34.985,5,0,80,18,9811,94,6
12/21/19,96,35.56,42,5.6,20.58,19,0,72,27,9790,91,7
12/22/19,109,42.78,71,21.7,32.24,22,0,0,29,9848,90,6
12/23/19,123,50.56,52,11.1,30.83,41,0,12,38,10071,82,4
12/24/19,90,32.22,72,22.2,27.21,20,0,2,28,10085,86,5
12/25/19,102,38.89,24,-4.4,17.245,50,0,2,42,10232,82,2
12/26/19,83,28.33,15,-9.4,9.465,1,0,26,14,10165,91,7
12/27/19,96,35.56,66,18.9,27.23,0,0,0,12,10288,88,8
12/28/19,99,37.22,66,18.9,28.06,0,0,0,12,10363,89,8
12/29/19,115,46.11,74,23.3,34.705,22,0,0,29,10336,86,6
12/30/19,93,33.89,15,-9.4,12.245,36,0,0,37,10297,93,0
12/31/19,81,27.22,49,9.4,18.31,0,0,0,13,10316,95,7
